id_linha,id_pedido,data_pedido,data_envio,modo_envio,id_cliente,nome_cliente,segmento,pais,cidade,estado,codigo_postal,regiao,id_produto,categoria,subcategoria,nome_produto,vendas
15,US-2016-118983,2016-11-22,2016-11-26,Classe padrao,HP-14815,Harold Pawlan,Home office,Estados Unidos,Fort Worth,Texas,76106.0,Centro,OFF-AP-10002311,Material de escritorio,Eletrodomesticos,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,US-2016-118983,2016-11-22,2016-11-26,Classe padrao,HP-14815,Harold Pawlan,Home office,Estados Unidos,Fort Worth,Texas,76106.0,Centro,OFF-BI-10000756,Material de escritorio,Pastas,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,CA-2015-105893,2015-11-11,2015-11-18,Classe padrao,PK-19075,Pete Kriz,Consumidor,Estados Unidos,Madison,Wisconsin,53711.0,Centro,OFF-ST-10004186,Material de escritorio,Armazenamento,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
18,CA-2015-167164,2015-05-13,2015-05-15,Segunda classe,AG-10270,Alejandro Grove,Consumidor,Estados Unidos,West Jordan,Utah,84084.0,Oeste,OFF-ST-10000107,Material de escritorio,Armazenamento,Fellowes Super Stor/Drawer,55.5
19,CA-2015-143336,2015-08-27,2015-09-01,Segunda classe,ZD-21925,Zuschuss Donatelli,Consumidor,Estados Unidos,San Francisco,California,94109.0,Oeste,OFF-AR-10003056,Material de escritorio,Arte,Newell 341,8.56
20,CA-2015-143336,2015-08-27,2015-09-01,Segunda classe,ZD-21925,Zuschuss Donatelli,Consumidor,Estados Unidos,San Francisco,California,94109.0,Oeste,TEC-PH-10001949,Tecnologia,Telefones,Cisco SPA 501G IP Phone,213.48
21,CA-2015-143336,2015-08-27,2015-09-01,Segunda classe,ZD-21925,Zuschuss Donatelli,Consumidor,Estados Unidos,San Francisco,California,94109.0,Oeste,OFF-BI-10002215,Material de escritorio,Pastas,"Wilson Jones Hanging View Binder, White, 1""",22.72
22,CA-2017-137330,2017-12-09,2017-12-13,Classe padrao,KB-16585,Ken Black,Corporativo,Estados Unidos,Fremont,Nebraska,68025.0,Centro,OFF-AR-10000246,Material de escritorio,Arte,Newell 318,19.46
23,CA-2017-137330,2017-12-09,2017-12-13,Classe padrao,KB-16585,Ken Black,Corporativo,Estados Unidos,Fremont,Nebraska,68025.0,Centro,OFF-AP-10001492,Material de escritorio,Eletrodomesticos,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
24,US-2018-156909,2018-07-16,2018-07-18,Segunda classe,SF-20065,Sandra Flanagan,Consumidor,Estados Unidos,Philadelphia,Pennsylvania,19140.0,Leste,FUR-CH-10002774,Moveis,Cadeiras,"Global Deluxe Stacking Chair, Gray",71.372
25,CA-2016-106320,2016-09-25,2016-09-30,Classe padrao,EB-13870,Emily Burns,Consumidor,Estados Unidos,Orem,Utah,84057.0,Oeste,FUR-TA-10000577,Moveis,Mesas,Bretford CR4500 Series Slim Rectangular Table,1044.63
26,CA-2017-121755,2017-01-16,2017-01-20,Segunda classe,EH-13945,Eric Hoffmann,Consumidor,Estados Unidos,Los Angeles,California,90049.0,Oeste,OFF-BI-10001634,Material de escritorio,Pastas,Wilson Jones Active Use Binders,11.648
27,CA-2017-121755,2017-01-16,2017-01-20,Segunda classe,EH-13945,Eric Hoffmann,Consumidor,Estados Unidos,Los Angeles,California,90049.0,Oeste,TEC-AC-10003027,Tecnologia,Acessorios,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
28,US-2016-150630,2016-09-17,2016-09-21,Classe padrao,TB-21520,Tracy Blumstein,Consumidor,Estados Unidos,Philadelphia,Pennsylvania,19140.0,Leste,FUR-BO-10004834,Moveis,Estantes,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
29,US-2016-150630,2016-09-17,2016-09-21,Classe padrao,TB-21520,Tracy Blumstein,Consumidor,Estados Unidos,Philadelphia,Pennsylvania,19140.0,Leste,OFF-BI-10000474,Material de escritorio,Pastas,Avery Recycled Flexi-View Covers for Binding Systems,9.618
30,US-2016-150630,2016-09-17,2016-09-21,Classe padrao,TB-21520,Tracy Blumstein,Consumidor,Estados Unidos,Philadelphia,Pennsylvania,19140.0,Leste,FUR-FU-10004848,Moveis,Mobiliario,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
31,US-2016-150630,2016-09-17,2016-09-21,Classe padrao,TB-21520,Tracy Blumstein,Consumidor,Estados Unidos,Philadelphia,Pennsylvania,19140.0,Leste,OFF-EN-10001509,Material de escritorio,Envelopes,Poly String Tie Envelopes,3.264
32,US-2016-150630,2016-09-17,2016-09-21,Classe padrao,TB-21520,Tracy Blumstein,Consumidor,Estados Unidos,Philadelphia,Pennsylvania,19140.0,Leste,OFF-AR-10004042,Material de escritorio,Arte,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
33,US-2016-150630,2016-09-17,2016-09-21,Classe padrao,TB-21520,Tracy Blumstein,Consumidor,Estados Unidos,Philadelphia,Pennsylvania,19140.0,Leste,OFF-BI-10001525,Material de escritorio,Pastas,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
34,US-2016-150630,2016-09-17,2016-09-21,Classe padrao,TB-21520,Tracy Blumstein,Consumidor,Estados Unidos,Philadelphia,Pennsylvania,19140.0,Leste,OFF-AR-10001683,Material de escritorio,Arte,Lumber Crayons,15.76
35,CA-2018-107727,2018-10-19,2018-10-23,Segunda classe,MA-17560,Matt Abelman,Home office,Estados Unidos,Houston,Texas,77095.0,Centro,OFF-PA-10000249,Material de escritorio,Papel,Easy-staple paper,29.472
36,CA-2017-117590,2017-12-08,2017-12-10,Primeira classe,GH-14485,Gene Hale,Corporativo,Estados Unidos,Richardson,Texas,75080.0,Centro,TEC-PH-10004977,Tecnologia,Telefones,GE 30524EE4,1097.544
37,CA-2017-117590,2017-12-08,2017-12-10,Primeira classe,GH-14485,Gene Hale,Corporativo,Estados Unidos,Richardson,Texas,75080.0,Centro,FUR-FU-10003664,Moveis,Mobiliario,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
38,CA-2016-117415,2016-12-27,2016-12-31,Classe padrao,SN-20710,Steve Nguyen,Home office,Estados Unidos,Houston,Texas,77041.0,Centro,OFF-EN-10002986,Material de escritorio,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
39,CA-2016-117415,2016-12-27,2016-12-31,Classe padrao,SN-20710,Steve Nguyen,Home office,Estados Unidos,Houston,Texas,77041.0,Centro,FUR-BO-10002545,Moveis,Estantes,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
40,CA-2016-117415,2016-12-27,2016-12-31,Classe padrao,SN-20710,Steve Nguyen,Home office,Estados Unidos,Houston,Texas,77041.0,Centro,FUR-CH-10004218,Moveis,Cadeiras,"Global Fabric Manager's Chair, Dark Gray",212.058
41,CA-2016-117415,2016-12-27,2016-12-31,Classe padrao,SN-20710,Steve Nguyen,Home office,Estados Unidos,Houston,Texas,77041.0,Centro,TEC-PH-10000486,Tecnologia,Telefones,Plantronics HL10 Handset Lifter,371.168
42,CA-2018-120999,2018-09-10,2018-09-15,Classe padrao,LC-16930,Linda Cazamias,Corporativo,Estados Unidos,Naperville,Illinois,60540.0,Centro,TEC-PH-10004093,Tecnologia,Telefones,Panasonic Kx-TS550,147.168
43,CA-2017-101343,2017-07-17,2017-07-22,Classe padrao,RA-19885,Ruben Ausman,Corporativo,Estados Unidos,Los Angeles,California,90049.0,Oeste,OFF-ST-10003479,Material de escritorio,Armazenamento,"Eldon Base for stackable storage shelf, platinum",77.88
44,CA-2018-139619,2018-09-19,2018-09-23,Classe padrao,ES-14080,Erin Smith,Corporativo,Estados Unidos,Melbourne,Florida,32935.0,Sul,OFF-ST-10003282,Material de escritorio,Armazenamento,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
45,CA-2017-118255,2017-03-11,2017-03-13,Primeira classe,ON-18715,Odella Nelson,Corporativo,Estados Unidos,Eagan,Minnesota,55122.0,Centro,TEC-AC-10000171,Tecnologia,Acessorios,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
46,CA-2017-118255,2017-03-11,2017-03-13,Primeira classe,ON-18715,Odella Nelson,Corporativo,Estados Unidos,Eagan,Minnesota,55122.0,Centro,OFF-BI-10003291,Material de escritorio,Pastas,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
47,CA-2015-146703,2015-10-20,2015-10-25,Segunda classe,PO-18865,Patrick O'Donnell,Consumidor,Estados Unidos,Westland,Michigan,48185.0,Centro,OFF-ST-10001713,Material de escritorio,Armazenamento,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
48,CA-2017-169194,2017-06-20,2017-06-25,Classe padrao,LH-16900,Lena Hernandez,Consumidor,Estados Unidos,Dover,Delaware,19901.0,Leste,TEC-AC-10002167,Tecnologia,Acessorios,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0
49,CA-2017-169194,2017-06-20,2017-06-25,Classe padrao,LH-16900,Lena Hernandez,Consumidor,Estados Unidos,Dover,Delaware,19901.0,Leste,TEC-PH-10003988,Tecnologia,Telefones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
50,CA-2016-115742,2016-04-18,2016-04-22,Classe padrao,DP-13000,Darren Powers,Consumidor,Estados Unidos,New Albany,Indiana,47150.0,Centro,OFF-BI-10004410,Material de escritorio,Pastas,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
51,CA-2016-115742,2016-04-18,2016-04-22,Classe padrao,DP-13000,Darren Powers,Consumidor,Estados Unidos,New Albany,Indiana,47150.0,Centro,OFF-LA-10002762,Material de escritorio,Etiquetas,Avery 485,75.18
52,CA-2016-115742,2016-04-18,2016-04-22,Classe padrao,DP-13000,Darren Powers,Consumidor,Estados Unidos,New Albany,Indiana,47150.0,Centro,FUR-FU-10001706,Moveis,Mobiliario,Longer-Life Soft White Bulbs,6.16
53,CA-2016-115742,2016-04-18,2016-04-22,Classe padrao,DP-13000,Darren Powers,Consumidor,Estados Unidos,New Albany,Indiana,47150.0,Centro,FUR-CH-10003061,Moveis,Cadeiras,"Global Leather Task Chair, Black",89.99
54,CA-2017-105816,2017-12-11,2017-12-17,Classe padrao,JM-15265,Janet Molinari,Corporativo,Estados Unidos,New York City,New York,10024.0,Leste,OFF-FA-10000304,Material de escritorio,Fixadores,Advantus Push Pins,15.26
55,CA-2017-105816,2017-12-11,2017-12-17,Classe padrao,JM-15265,Janet Molinari,Corporativo,Estados Unidos,New York City,New York,10024.0,Leste,TEC-PH-10002447,Tecnologia,Telefones,AT&T CL83451 4-Handset Telephone,1029.95
56,CA-2017-111682,2017-06-17,2017-06-18,Primeira classe,TB-21055,Ted Butterfield,Consumidor,Estados Unidos,Troy,New York,12180.0,Leste,OFF-ST-10000604,Material de escritorio,Armazenamento,Home/Office Personal File Carts,208.56
57,CA-2017-111682,2017-06-17,2017-06-18,Primeira classe,TB-21055,Ted Butterfield,Consumidor,Estados Unidos,Troy,New York,12180.0,Leste,OFF-PA-10001569,Material de escritorio,Papel,Xerox 232,32.4
58,CA-2017-111682,2017-06-17,2017-06-18,Primeira classe,TB-21055,Ted Butterfield,Consumidor,Estados Unidos,Troy,New York,12180.0,Leste,FUR-CH-10003968,Moveis,Cadeiras,Novimex Turbo Task Chair,319.41
59,CA-2017-111682,2017-06-17,2017-06-18,Primeira classe,TB-21055,Ted Butterfield,Consumidor,Estados Unidos,Troy,New York,12180.0,Leste,OFF-PA-10000587,Material de escritorio,Papel,"Array Parchment Paper, Assorted Colors",14.56
60,CA-2017-111682,2017-06-17,2017-06-18,Primeira classe,TB-21055,Ted Butterfield,Consumidor,Estados Unidos,Troy,New York,12180.0,Leste,TEC-AC-10002167,Tecnologia,Acessorios,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0
61,CA-2017-111682,2017-06-17,2017-06-18,Primeira classe,TB-21055,Ted Butterfield,Consumidor,Estados Unidos,Troy,New York,12180.0,Leste,OFF-BI-10001460,Material de escritorio,Pastas,Plastic Binding Combs,48.48
62,CA-2017-111682,2017-06-17,2017-06-18,Primeira classe,TB-21055,Ted Butterfield,Consumidor,Estados Unidos,Troy,New York,12180.0,Leste,OFF-AR-10001868,Material de escritorio,Arte,Prang Dustless Chalk Sticks,1.68
63,CA-2016-135545,2016-11-24,2016-11-30,Classe padrao,KM-16720,Kunst Miller,Consumidor,Estados Unidos,Los Angeles,California,90004.0,Oeste,TEC-AC-10004633,Tecnologia,Acessorios,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
64,CA-2016-135545,2016-11-24,2016-11-30,Classe padrao,KM-16720,Kunst Miller,Consumidor,Estados Unidos,Los Angeles,California,90004.0,Oeste,OFF-BI-10001078,Material de escritorio,Pastas,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
65,CA-2016-135545,2016-11-24,2016-11-30,Classe padrao,KM-16720,Kunst Miller,Consumidor,Estados Unidos,Los Angeles,California,90004.0,Oeste,OFF-PA-10003892,Material de escritorio,Papel,Xerox 1943,146.73
66,CA-2016-135545,2016-11-24,2016-11-30,Classe padrao,KM-16720,Kunst Miller,Consumidor,Estados Unidos,Los Angeles,California,90004.0,Oeste,FUR-FU-10000397,Moveis,Mobiliario,Luxo Economy Swing Arm Lamp,79.76
67,US-2016-164175,2016-04-30,2016-05-05,Classe padrao,PS-18970,Paul Stevenson,Home office,Estados Unidos,Chicago,Illinois,60610.0,Centro,FUR-CH-10001146,Moveis,Cadeiras,"Global Value Mid-Back Manager's Chair, Gray",213.115
68,CA-2015-106376,2015-12-05,2015-12-10,Classe padrao,BS-11590,Brendan Sweed,Corporativo,Estados Unidos,Gilbert,Arizona,85234.0,Oeste,OFF-AR-10002671,Material de escritorio,Arte,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
69,CA-2015-106376,2015-12-05,2015-12-10,Classe padrao,BS-11590,Brendan Sweed,Corporativo,Estados Unidos,Gilbert,Arizona,85234.0,Oeste,TEC-PH-10002726,Tecnologia,Telefones,netTALK DUO VoIP Telephone Service,167.968
70,CA-2017-119823,2017-06-04,2017-06-06,Primeira classe,KD-16270,Karen Daniels,Consumidor,Estados Unidos,Springfield,Virginia,22153.0,Sul,OFF-PA-10000482,Material de escritorio,Papel,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
71,CA-2017-106075,2017-09-18,2017-09-23,Classe padrao,HM-14980,Henry MacAllister,Consumidor,Estados Unidos,New York City,New York,10009.0,Leste,OFF-BI-10004654,Material de escritorio,Pastas,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
72,CA-2018-114440,2018-09-14,2018-09-17,Segunda classe,TB-21520,Tracy Blumstein,Consumidor,Estados Unidos,Jackson,Michigan,49201.0,Centro,OFF-PA-10004675,Material de escritorio,Papel,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
73,US-2016-134026,2016-04-26,2016-05-02,Classe padrao,JE-15745,Joel Eaton,Consumidor,Estados Unidos,Memphis,Tennessee,38109.0,Sul,FUR-CH-10000513,Moveis,Cadeiras,High-Back Leather Manager's Chair,831.936
74,US-2016-134026,2016-04-26,2016-05-02,Classe padrao,JE-15745,Joel Eaton,Consumidor,Estados Unidos,Memphis,Tennessee,38109.0,Sul,FUR-FU-10003708,Moveis,Mobiliario,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
75,US-2016-134026,2016-04-26,2016-05-02,Classe padrao,JE-15745,Joel Eaton,Consumidor,Estados Unidos,Memphis,Tennessee,38109.0,Sul,OFF-ST-10004123,Material de escritorio,Armazenamento,Safco Industrial Wire Shelving System,72.784
76,US-2018-118038,2018-12-09,2018-12-11,Primeira classe,KB-16600,Ken Brennan,Corporativo,Estados Unidos,Houston,Texas,77041.0,Centro,OFF-BI-10004182,Material de escritorio,Pastas,Economy Binders,1.248
77,US-2018-118038,2018-12-09,2018-12-11,Primeira classe,KB-16600,Ken Brennan,Corporativo,Estados Unidos,Houston,Texas,77041.0,Centro,FUR-FU-10000260,Moveis,Mobiliario,"6"" Cubicle Wall Clock, Black",9.708
78,US-2018-118038,2018-12-09,2018-12-11,Primeira classe,KB-16600,Ken Brennan,Corporativo,Estados Unidos,Houston,Texas,77041.0,Centro,OFF-ST-10000615,Material de escritorio,Armazenamento,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
79,US-2015-147606,2015-11-26,2015-12-01,Segunda classe,JE-15745,Joel Eaton,Consumidor,Estados Unidos,Houston,Texas,77070.0,Centro,FUR-FU-10003194,Moveis,Mobiliario,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
80,CA-2017-127208,2017-06-12,2017-06-15,Primeira classe,SC-20770,Stewart Carmichael,Corporativo,Estados Unidos,Decatur,Alabama,35601.0,Sul,OFF-AP-10002118,Material de escritorio,Eletrodomesticos,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
81,CA-2017-127208,2017-06-12,2017-06-15,Primeira classe,SC-20770,Stewart Carmichael,Corporativo,Estados Unidos,Decatur,Alabama,35601.0,Sul,OFF-BI-10002309,Material de escritorio,Pastas,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
82,CA-2015-139451,2015-10-12,2015-10-16,Classe padrao,DN-13690,Duane Noonan,Consumidor,Estados Unidos,San Francisco,California,94122.0,Oeste,OFF-AR-10002053,Material de escritorio,Arte,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
83,CA-2015-139451,2015-10-12,2015-10-16,Classe padrao,DN-13690,Duane Noonan,Consumidor,Estados Unidos,San Francisco,California,94122.0,Oeste,OFF-ST-10002370,Material de escritorio,Armazenamento,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
84,CA-2016-149734,2016-09-03,2016-09-08,Classe padrao,JC-16105,Julie Creighton,Corporativo,Estados Unidos,Durham,North Carolina,27707.0,Sul,OFF-EN-10000927,Material de escritorio,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
85,US-2018-119662,2018-11-13,2018-11-16,Primeira classe,CS-12400,Christopher Schild,Home office,Estados Unidos,Chicago,Illinois,60623.0,Centro,OFF-ST-10003656,Material de escritorio,Armazenamento,Safco Industrial Wire Shelving,230.376
86,CA-2018-140088,2018-05-28,2018-05-30,Segunda classe,PO-18865,Patrick O'Donnell,Consumidor,Estados Unidos,Columbia,South Carolina,29203.0,Sul,FUR-CH-10000863,Moveis,Cadeiras,Novimex Swivel Fabric Task Chair,301.96
87,CA-2018-155558,2018-10-26,2018-11-02,Classe padrao,PG-18895,Paul Gonzalez,Consumidor,Estados Unidos,Rochester,Minnesota,55901.0,Centro,TEC-AC-10001998,Tecnologia,Acessorios,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
88,CA-2018-155558,2018-10-26,2018-11-02,Classe padrao,PG-18895,Paul Gonzalez,Consumidor,Estados Unidos,Rochester,Minnesota,55901.0,Centro,OFF-LA-10000134,Material de escritorio,Etiquetas,Avery 511,6.16
89,CA-2017-159695,2017-04-05,2017-04-10,Segunda classe,GM-14455,Gary Mitchum,Home office,Estados Unidos,Houston,Texas,77095.0,Centro,OFF-ST-10003442,Material de escritorio,Armazenamento,Eldon Portable Mobile Manager,158.368
90,CA-2017-109806,2017-09-17,2017-09-22,Classe padrao,JS-15685,Jim Sink,Corporativo,Estados Unidos,Los Angeles,California,90036.0,Oeste,OFF-AR-10004930,Material de escritorio,Arte,Turquoise Lead Holder with Pocket Clip,20.1
91,CA-2017-109806,2017-09-17,2017-09-22,Classe padrao,JS-15685,Jim Sink,Corporativo,Estados Unidos,Los Angeles,California,90036.0,Oeste,TEC-PH-10004093,Tecnologia,Telefones,Panasonic Kx-TS550,73.584
92,CA-2017-109806,2017-09-17,2017-09-22,Classe padrao,JS-15685,Jim Sink,Corporativo,Estados Unidos,Los Angeles,California,90036.0,Oeste,OFF-PA-10000304,Material de escritorio,Papel,Xerox 1995,6.48
93,CA-2016-149587,2016-01-31,2016-02-05,Segunda classe,KB-16315,Karl Braun,Consumidor,Estados Unidos,Minneapolis,Minnesota,55407.0,Centro,OFF-PA-10003177,Material de escritorio,Papel,Xerox 1999,12.96
94,CA-2016-149587,2016-01-31,2016-02-05,Segunda classe,KB-16315,Karl Braun,Consumidor,Estados Unidos,Minneapolis,Minnesota,55407.0,Centro,FUR-FU-10003799,Moveis,Mobiliario,"Seth Thomas 13 1/2"" Wall Clock",53.34
95,CA-2016-149587,2016-01-31,2016-02-05,Segunda classe,KB-16315,Karl Braun,Consumidor,Estados Unidos,Minneapolis,Minnesota,55407.0,Centro,OFF-BI-10002852,Material de escritorio,Pastas,Ibico Standard Transparent Covers,32.96
96,US-2018-109484,2018-11-06,2018-11-12,Classe padrao,RB-19705,Roger Barcio,Home office,Estados Unidos,Portland,Oregon,97206.0,Oeste,OFF-BI-10004738,Material de escritorio,Pastas,Flexible Leather- Look Classic Collection Ring Binder,5.682
97,CA-2018-161018,2018-11-09,2018-11-11,Segunda classe,PN-18775,Parhena Norris,Home office,Estados Unidos,New York City,New York,10009.0,Leste,FUR-FU-10000629,Moveis,Mobiliario,9-3/4 Diameter Round Wall Clock,96.53
98,CA-2018-157833,2018-06-17,2018-06-20,Primeira classe,KD-16345,Katherine Ducich,Consumidor,Estados Unidos,San Francisco,California,94122.0,Oeste,OFF-BI-10001721,Material de escritorio,Pastas,Trimflex Flexible Post Binders,51.312
99,CA-2017-149223,2017-09-06,2017-09-11,Classe padrao,ER-13855,Elpida Rittenbach,Corporativo,Estados Unidos,Saint Paul,Minnesota,55106.0,Centro,OFF-AP-10000358,Material de escritorio,Eletrodomesticos,Fellowes Basic Home/Office Series Surge Protectors,77.88
100,CA-2017-158568,2017-08-29,2017-09-02,Classe padrao,RB-19465,Rick Bensley,Home office,Estados Unidos,Chicago,Illinois,60610.0,Centro,OFF-PA-10003256,Material de escritorio,Papel,Avery Personal Creations Heavyweight Cards,64.624
101,CA-2017-158568,2017-08-29,2017-09-02,Classe padrao,RB-19465,Rick Bensley,Home office,Estados Unidos,Chicago,Illinois,60610.0,Centro,TEC-AC-10001767,Tecnologia,Acessorios,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
102,CA-2017-158568,2017-08-29,2017-09-02,Classe padrao,RB-19465,Rick Bensley,Home office,Estados Unidos,Chicago,Illinois,60610.0,Centro,OFF-BI-10002609,Material de escritorio,Pastas,Avery Hidden Tab Dividers for Binding Systems,1.788
103,CA-2017-129903,2017-12-01,2017-12-04,Segunda classe,GZ-14470,Gary Zandusky,Consumidor,Estados Unidos,Rochester,Minnesota,55901.0,Centro,OFF-PA-10004040,Material de escritorio,Papel,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
104,US-2016-156867,2016-11-13,2016-11-17,Classe padrao,LC-16870,Lena Cacioppo,Consumidor,Estados Unidos,Aurora,Colorado,80013.0,Oeste,TEC-AC-10001552,Tecnologia,Acessorios,Logitech K350 2.4Ghz Wireless Keyboard,238.896
105,US-2016-156867,2016-11-13,2016-11-17,Classe padrao,LC-16870,Lena Cacioppo,Consumidor,Estados Unidos,Aurora,Colorado,80013.0,Oeste,FUR-FU-10004006,Moveis,Mobiliario,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
